NCBI Accession,type,proportion,number of bp
NC_031060.1,virus,2.68E-05,535.2814822
NC_031061.1,virus,1.17E-05,234.3292326
NC_031062.2,virus,0.000292854,5857.082142
NC_031063.1,virus,3.34E-05,668.5275165
NC_031064.1,virus,0.000143871,2877.425135
NC_031065.1,virus,0.000391468,7829.353182
NC_031066.1,virus,1.73E-05,346.899158
NC_031067.1,virus,9.30E-06,186.0849788
NC_031068.1,virus,6.52E-05,1304.892197
NC_031069.1,virus,9.27E-05,1853.957752
NC_031070.1,virus,0.000136347,2726.94901
NC_031071.1,virus,3.73E-05,746.6372606
NC_031072.1,virus,8.73E-06,174.5982517
NC_031073.1,virus,3.93E-05,785.6921327
NC_031074.1,virus,7.31E-05,1461.111685
NC_031075.1,virus,1.87E-05,374.467303
NC_031076.1,virus,1.08E-05,215.9504692
NC_031077.1,virus,5.90E-05,1180.835545
NC_031078.1,virus,2.04E-05,408.9274843
NC_031080.1,virus,0.00014927,2985.40037
NC_031081.1,virus,3.37E-05,673.1222073
NC_031082.1,virus,0.000154267,3085.334896
NC_031084.1,virus,1.79E-05,358.3858851
NC_031085.1,virus,0.000199237,3984.745626
NC_031086.1,virus,3.35E-05,670.8248619
NC_031087.1,virus,0.00031577,6315.402552
NC_031090.1,virus,0.000256499,5129.972317
NC_031091.1,virus,3.18E-05,636.3646806
NC_031092.1,virus,4.02E-05,804.0708961
NC_031094.1,virus,5.78E-05,1155.564745
NC_031095.1,virus,0.000299689,5993.774194
NC_031096.1,virus,1.87E-05,374.467303
NC_031097.1,virus,3.39E-05,677.7168981
NC_031098.1,virus,9.10E-05,1819.497571
NC_031099.1,virus,2.40E-05,480.1451922
NC_031100.1,virus,0.00042432,8486.393972
NC_031101.1,virus,7.42E-05,1484.08514
NC_031102.1,virus,1.76E-05,351.4938489
NC_031103.1,virus,0.000326797,6535.947712
NC_031104.1,virus,3.78E-05,755.8266423
NC_031107.1,virus,0.000449131,8982.620582
NC_031108.1,virus,8.96E-06,179.1929426
NC_031109.1,virus,0.000114867,2297.345417
NC_031110.1,virus,7.52E-05,1504.761248
NC_031111.1,virus,1.40E-05,280.2761409
NC_031112.1,virus,2.77E-05,553.6602456
NC_031113.1,virus,2.94E-05,588.1204268
NC_031114.1,virus,2.76E-05,551.3629002
NC_031115.1,virus,5.05E-05,1010.831984
NC_031116.1,virus,0.000201937,4038.733244
NC_031117.1,virus,0.000175977,3519.533179
NC_031118.1,virus,1.80E-05,360.6832305
NC_031119.1,virus,7.58E-06,151.6247975
NC_031120.1,virus,0.000396062,7921.246999
NC_031121.1,virus,0.00011257,2251.398509
NC_031122.1,virus,1.62E-05,323.9257038
NC_031123.1,virus,2.78E-05,555.957591
NC_031124.1,virus,4.73E-05,946.506312
NC_031125.1,virus,7.00E-05,1399.083359
NC_031126.1,virus,0.000383197,7663.944312
NC_031127.1,virus,0.000413637,8272.740848
NC_031128.1,virus,0.000107631,2152.612656
NC_031129.1,virus,0.000150132,3002.630461
NC_031224.2,virus,6.46E-05,1291.108125
NC_031226.1,virus,2.77E-05,553.6602456
NC_031228.1,virus,3.77E-05,753.5292969
NC_031229.1,virus,3.95E-05,790.2868236
NC_031230.1,virus,5.17E-05,1033.805438
NC_031231.1,virus,3.19E-05,638.662026
NC_031233.1,virus,1.28E-05,255.0053413
NC_031234.1,virus,7.81E-05,1562.194884
NC_031235.1,virus,0.000987054,19741.08917
NC_031237.1,virus,1.19E-05,238.9239234
NC_031238.1,virus,2.47E-05,493.9292647
NC_031239.1,virus,3.50E-05,700.6903523
NC_031241.1,virus,0.000212275,4245.494331
NC_031242.1,virus,0.000639007,12780.13256
NC_031243.1,virus,1.03E-05,206.7610876
NC_031245.1,virus,0.000399049,7980.97798
NC_031246.1,virus,2.42E-05,484.7398831
NC_031247.1,virus,2.93E-05,585.8230814
NC_031249.1,virus,1.39E-05,277.9787955
NC_031250.1,virus,0.000222383,4447.660728
NC_031251.1,virus,2.06E-05,411.2248297
NC_031252.1,virus,3.89E-05,778.8000965
NC_031253.1,virus,5.80E-05,1160.159436
NC_031254.1,virus,4.80E-05,960.2903845
NC_031255.2,virus,3.06E-05,611.093881
NC_031256.1,virus,2.25E-05,450.2797018
NC_031257.1,virus,3.43E-05,686.9062798
NC_031258.1,virus,6.46E-05,1291.108125
NC_031260.1,virus,5.18E-05,1036.102783
NC_031261.1,virus,1.63E-05,326.2230493
NC_031262.1,virus,1.07E-05,213.6531238
NC_031263.1,virus,1.30E-05,259.6000322
NC_031264.1,virus,3.71E-05,742.0425698
NC_031265.1,virus,3.77E-05,753.5292969
NC_031266.1,virus,2.56E-05,512.3080281
NC_031267.1,virus,1.03E-05,206.7610876
NC_031269.1,virus,1.99E-05,397.4407572
NC_031271.1,virus,3.46E-05,691.5009706
NC_031274.1,virus,0.000109813,2196.262219
NC_031277.1,virus,1.59E-05,317.0336676
NC_031279.1,virus,3.74E-05,748.9346061
NC_031280.1,virus,0.000577668,11553.3501
NC_031281.1,virus,4.24E-05,847.720459
NC_031900.1,virus,0.000570201,11404.02265
NC_031901.1,virus,9.94E-05,1987.203786
NC_031902.1,virus,8.81E-05,1762.063935
NC_031903.1,virus,0.000378603,7572.050496
NC_031904.1,virus,0.00055791,11158.20669
NC_031905.1,virus,4.45E-05,890.2213492
NC_031906.1,virus,0.000708961,14179.21592
NC_031907.1,virus,2.69E-05,537.5788277
NC_031908.1,virus,3.73E-05,746.6372606
NC_031909.1,virus,0.001097212,21944.24343
NC_031910.1,virus,2.30E-05,459.4690835
NC_031911.1,virus,0.00014703,2940.602134
NC_031912.1,virus,0.000256154,5123.080281
NC_031913.1,virus,8.87E-05,1773.550662
NC_031914.1,virus,0.000257877,5157.540462
NC_031915.1,virus,6.05E-05,1210.701035
NC_031917.1,virus,9.06E-05,1812.605534
NC_031918.1,virus,6.31E-05,1261.242634
NC_031919.1,virus,4.41E-05,882.1806403
NC_031920.1,virus,2.99E-05,597.3098085
NC_031921.1,virus,4.04E-05,808.6655869
NC_031922.1,virus,0.000683001,13660.01585
NC_031923.1,virus,7.00E-05,1399.083359
NC_031924.1,virus,4.81E-05,962.5877299
NC_031925.1,virus,3.72E-05,744.3399152
NC_031926.1,virus,0.000166328,3326.556164
NC_031927.1,virus,0.000461307,9226.139196
NC_031928.1,virus,0.000204923,4098.464225
NC_031929.1,virus,2.79E-05,558.2549364
NC_031930.1,virus,3.49E-05,698.3930069
NC_031931.1,virus,0.000265573,5311.462605
NC_031932.1,virus,4.38E-05,875.288604
NC_031933.1,virus,8.16E-05,1631.115246
NC_031934.1,virus,0.000228356,4567.12269
NC_031935.1,virus,0.000410421,8208.415176
NC_031936.1,virus,3.63E-05,725.9611519
NC_031937.1,virus,3.40E-05,680.0142435
NC_031938.1,virus,4.27E-05,854.6124953
NC_031939.1,virus,0.000194815,3896.297828
NC_031940.1,virus,7.12E-05,1424.354159
NC_031941.1,virus,5.07E-05,1013.129329
NC_031942.1,virus,6.82E-05,1364.623178
NC_031943.1,virus,2.38E-05,475.5505014
NC_031944.1,virus,0.000344027,6880.549525
NC_031945.1,virus,4.36E-05,871.8425859
NC_031946.1,virus,2.91E-05,582.3770633
NC_034248.1,virus,0.000110387,2207.748946
NC_034619.1,virus,8.41E-05,1681.656846
NC_034620.1,virus,0.000174598,3491.965034
NC_034621.1,virus,7.34E-05,1468.003722
NC_034623.1,virus,0.000208254,4165.087242
NC_034624.1,virus,0.000136003,2720.056974
NC_034625.1,virus,0.000127732,2554.648104
NC_034627.1,virus,6.82E-05,1364.623178
NC_034628.1,virus,0.00012532,2506.40385
NC_035464.1,virus,6.89E-06,137.840725
NC_036595.1,virus,5.63E-06,112.5699255
AP014520.1,prokaryote,3.98E-05,796.306377
AP014718.1,prokaryote,4.65E-05,930.0964983
AP014719.1,prokaryote,6.19E-05,1237.835965
AP017424.1,prokaryote,5.24E-05,1048.577302
AP017894.1,prokaryote,2.66E-05,532.0542469
AP017895.1,prokaryote,6.69E-05,1337.679339
AP018040.1,prokaryote,0.00045492,9098.39387
AP018336.1,prokaryote,5.23E-05,1046.136686
AP018340.1,prokaryote,8.98E-05,1796.736985
CP007037.1,prokaryote,2.21E-06,44.15295877
CP007503.1,prokaryote,0.000110482,2209.644806
CP007601.1,prokaryote,0.000107809,2156.173132
CP007653.1,prokaryote,8.32E-06,166.4056235
CP007654.1,prokaryote,1.72E-06,34.39049552
CP007655.1,prokaryote,4.83E-05,965.3744904
CP007751.1,prokaryote,7.48E-06,149.543187
CP008903.1,prokaryote,5.40E-05,1080.97093
CP009057.1,prokaryote,0.07870966,1574193.205
CP010329.1,prokaryote,9.65E-07,19.30305233
CP010331.1,prokaryote,1.03E-06,20.63429731
CP010332.1,prokaryote,1.08E-06,21.52179397
CP010333.1,prokaryote,1.03E-06,20.63429731
CP010334.1,prokaryote,8.99E-07,17.97180734
CP010335.1,prokaryote,1.42E-06,28.39989308
CP010336.1,prokaryote,9.21E-07,18.41555567
CP010338.1,prokaryote,7.88E-07,15.75306569
CP010340.1,prokaryote,9.43E-07,18.859304
CP010478.1,prokaryote,4.91E-06,98.29025494
CP010512.1,prokaryote,2.91E-05,581.3103114
CP010514.1,prokaryote,9.33E-05,1866.183599
CP010595.1,prokaryote,2.06E-05,412.2421979
CP010805.1,prokaryote,1.80E-05,360.7673917
CP010828.1,prokaryote,3.06E-05,611.4851978
CP010829.1,prokaryote,3.13E-06,62.56851443
CP011209.1,prokaryote,4.50E-05,899.2559894
CP011210.1,prokaryote,4.15E-05,829.5875017
CP011211.1,prokaryote,4.45E-05,890.6028969
CP011212.1,prokaryote,4.96E-05,991.777516
CP011213.1,prokaryote,5.22E-05,1044.805441
CP011214.1,prokaryote,6.10E-05,1219.864157
CP011215.1,prokaryote,5.33E-05,1066.105361
CP011216.1,prokaryote,1.92E-05,384.2860532
CP011245.1,prokaryote,2.55E-07,5.103105787
CP011262.1,prokaryote,2.85E-05,570.4384773
CP011263.1,prokaryote,2.77E-05,553.3541667
CP011272.1,prokaryote,0.000155345,3106.903928
CP011328.1,prokaryote,5.44E-06,108.7183407
CP011339.1,prokaryote,0.000141145,2822.904997
CP011503.1,prokaryote,1.98E-05,395.6016356
CP011504.1,prokaryote,1.91E-05,382.5110599
CP011505.1,prokaryote,9.49E-06,189.7024108
CP011511.1,prokaryote,3.66E-06,73.21847434
CP011770.1,prokaryote,8.82E-05,1764.565232
CP011777.1,prokaryote,1.70E-05,339.2455978
CP011797.1,prokaryote,7.76E-05,1552.675404
CP011805.1,prokaryote,4.32E-05,863.3123747
CP011832.1,prokaryote,6.25E-05,1250.039044
CP011968.1,prokaryote,5.72E-05,1144.426941
CP011997.1,prokaryote,1.27E-05,253.380296
CP012112.1,prokaryote,5.78E-06,115.5964398
CP012135.1,prokaryote,1.55E-07,3.106238305
CP012137.1,prokaryote,2.48E-06,49.69981288
CP012140.1,prokaryote,3.48E-06,69.6684877
CP012151.1,prokaryote,2.22E-06,44.37483293
CP012155.1,prokaryote,0.000189059,3781.179514
CP012156.1,prokaryote,9.12E-05,1823.140011
CP012157.1,prokaryote,6.78E-05,1356.316769
CP012158.1,prokaryote,3.50E-05,700.9004862
CP012333.1,prokaryote,0.000123939,2478.778168
CP012361.1,prokaryote,2.13E-05,425.1108995
CP012378.1,prokaryote,1.51E-05,301.3051156
CP012388.1,prokaryote,0.000223849,4476.976894
CP012389.1,prokaryote,8.96E-05,1791.412005
CP012411.1,prokaryote,4.58E-05,915.0090551
CP012586.1,prokaryote,0.000214064,4281.283881
CP012597.1,prokaryote,2.42E-06,48.3685679
CP012598.1,prokaryote,2.57E-06,51.4748062
CP012673.1,prokaryote,0.000115951,2319.028769
CP012714.1,prokaryote,0.000124116,2482.328154
CP012717.1,prokaryote,0.000126812,2536.243576
CP012718.1,prokaryote,7.01E-05,1402.466595
CP012719.1,prokaryote,0.000174892,3497.846206
CP012735.1,prokaryote,3.15E-06,63.01226276
CP012849.1,prokaryote,5.65E-05,1130.670743
CP012850.1,prokaryote,0.0002831,5662.006808
CP012986.1,prokaryote,4.87E-05,974.6932053
CP013000.1,prokaryote,0.000122663,2453.262639
CP013062.1,prokaryote,1.08E-05,216.7710589
CP013063.1,prokaryote,8.78E-06,175.5024642
CP013064.1,prokaryote,1.04E-05,208.7835889
CP013065.1,prokaryote,1.03E-05,205.4554765
CP013066.1,prokaryote,9.96E-06,199.2429999
CP013099.1,prokaryote,9.10E-05,1820.477521
CP013131.1,prokaryote,4.02E-05,803.8500986
CP013144.1,prokaryote,5.30E-06,106.0558507
CP013185.1,prokaryote,6.31E-06,126.2463997
CP013196.1,prokaryote,0.000116306,2326.128742
CP013203.1,prokaryote,0.000201417,4028.347334
CP013396.1,prokaryote,7.60E-06,151.9838028
CP013397.1,prokaryote,9.39E-06,187.7055433
CP013457.1,prokaryote,1.82E-05,364.3173784
CP013458.1,prokaryote,1.16E-05,231.4147537
CP013614.1,prokaryote,0.000249575,4991.503082
CP013676.1,prokaryote,5.16E-06,103.1714866
CP013701.1,prokaryote,0.000194928,3898.550947
CP013837.1,prokaryote,4.16E-06,83.20281175
CP013841.1,prokaryote,0.000101563,2031.257977
CP013843.1,prokaryote,8.91E-05,1782.315165
CP013845.1,prokaryote,0.000191466,3829.326208
CP013847.1,prokaryote,0.000126102,2522.04363
CP013849.1,prokaryote,9.55E-05,1909.449061
CP013850.1,prokaryote,0.000116029,2320.581888
CP013867.1,prokaryote,3.22E-07,6.434350775
CP013930.1,prokaryote,7.33E-05,1465.478858
CP013933.1,prokaryote,4.28E-05,856.2124014
CP013943.1,prokaryote,4.91E-05,981.3494303
CP013959.1,prokaryote,1.38E-05,276.4552092
CP014013.2,prokaryote,1.86E-05,371.8611
CP014014.1,prokaryote,3.72E-05,743.7221999
CP014015.2,prokaryote,9.31E-05,1862.411738
CP014018.1,prokaryote,3.79E-05,758.587769
CP014019.1,prokaryote,9.08E-05,1816.927534
CP014020.1,prokaryote,7.15E-05,1430.42274
CP014021.1,prokaryote,7.24E-05,1448.616421
CP014025.1,prokaryote,3.49E-05,698.2379962
CP014061.1,prokaryote,4.44E-07,8.874966586
CP014065.2,prokaryote,4.53E-05,906.799711
CP014099.2,prokaryote,3.75E-06,74.99346765
CP014111.1,prokaryote,6.07E-06,121.3651681
CP014119.1,prokaryote,5.88E-05,1175.711199
CP014123.1,prokaryote,7.94E-06,158.8619019
CP014138.1,prokaryote,1.36E-05,272.2396
CP014150.1,prokaryote,0.000454443,9088.853281
CP014151.1,prokaryote,9.42E-05,1884.37728
CP014153.2,prokaryote,4.22E-07,8.431218257
CP014155.1,prokaryote,1.31E-05,262.9208851
CP014156.1,prokaryote,1.27E-05,254.0459185
CP014174.1,prokaryote,8.94E-05,1787.41827
CP014197.1,prokaryote,6.94E-06,138.8932271
CP014205.2,prokaryote,7.72E-05,1544.687934
CP014219.1,prokaryote,9.42E-05,1883.489784
CP014291.1,prokaryote,8.09E-06,161.746266
CP014338.1,prokaryote,0.000160936,3218.728507
CP014449.1,prokaryote,1.45E-05,290.4332815
CP014492.1,prokaryote,3.03E-06,60.57164695
CP014651.1,prokaryote,7.10E-05,1420.88215
CP014670.1,prokaryote,8.28E-06,165.5181268
CP014749.1,prokaryote,6.28E-05,1255.807772
CP014752.1,prokaryote,6.28E-06,125.5807772
CP014787.1,prokaryote,7.25E-05,1450.391414
CP014858.1,prokaryote,2.90E-05,579.0915698
CP014993.1,prokaryote,3.73E-05,745.0534449
CP015136.1,prokaryote,9.98E-05,1995.979985
CP015194.1,prokaryote,0.000147546,2950.92639
CP015417.1,prokaryote,1.88E-05,375.8548349
CP015448.1,prokaryote,5.73E-05,1146.867557
CP015524.1,prokaryote,2.29E-06,45.70607792
CP015526.1,prokaryote,1.71E-06,34.16862136
CP015598.1,prokaryote,3.36E-06,67.22787189
CP015819.1,prokaryote,8.35E-05,1670.71246
CP015895.1,prokaryote,3.06E-05,612.5945686
CP015898.1,prokaryote,2.50E-05,499.4387446
CP015976.1,prokaryote,3.95E-06,78.98720262
CP016032.1,prokaryote,3.25E-05,649.6475541
CP016093.1,prokaryote,6.14E-05,1228.295376
CP016194.1,prokaryote,7.40E-05,1479.235056
CP016211.1,prokaryote,0.000151274,3025.476109
CP016280.1,prokaryote,0.000188249,3764.9827
CP016286.1,prokaryote,4.83E-05,966.9276096
CP016327.1,prokaryote,1.26E-05,252.4927994
CP016332.1,prokaryote,0.000152783,3055.650996
CP016333.1,prokaryote,3.39E-05,677.825573
CP016343.1,prokaryote,1.20E-05,240.9553428
CP016355.1,prokaryote,3.59E-05,717.7629227
CP016491.1,prokaryote,8.84E-05,1768.337092
CP016616.1,prokaryote,9.80E-05,1960.923867
CP016634.1,prokaryote,6.73E-05,1345.22306
CP016808.1,prokaryote,0.000319011,6380.213479
CP016809.1,prokaryote,0.000294793,5895.862177
CP016823.1,prokaryote,2.84E-05,567.332239
CP016836.1,prokaryote,3.76E-05,751.7096699
CP016863.2,prokaryote,4.17E-06,83.42468591
CP016928.1,prokaryote,4.56E-05,911.6809426
CP017117.1,prokaryote,0.000111303,2226.063494
CP017220.1,prokaryote,8.28E-06,165.5181268
CP017245.1,prokaryote,0.000173594,3471.886929
CP017315.1,prokaryote,8.38E-05,1675.815566
CP017432.1,prokaryote,5.76E-05,1152.414411
CP017453.1,prokaryote,4.56E-05,911.0153201
CP017454.1,prokaryote,4.39E-05,877.0685729
CP017480.1,prokaryote,6.43E-05,1285.982658
CP017572.1,prokaryote,1.66E-05,332.1456245
CP017602.1,prokaryote,1.31E-05,262.2552626
CP017617.1,prokaryote,2.96E-06,59.24040196
CP017665.1,prokaryote,4.79E-05,957.1651463
CP017687.1,prokaryote,0.000106988,2139.754444
CP017766.1,prokaryote,6.69E-05,1337.013716
CP017767.1,prokaryote,0.000100564,2011.289303
CP017768.1,prokaryote,7.86E-05,1571.534708
CP017780.1,prokaryote,8.12E-05,1624.118885
CP017803.1,prokaryote,0.000172651,3453.027625
CP017922.1,prokaryote,0.000218191,4363.821071
CP017948.1,prokaryote,0.000223516,4470.32067
CP017950.1,prokaryote,0.000159295,3185.89113
CP017999.1,prokaryote,2.84E-05,567.332239
CP018000.1,prokaryote,2.04E-05,407.8047146
CP018023.1,prokaryote,0.00023208,4641.607525
CP018061.1,prokaryote,0.000159184,3183.672389
CP018259.1,prokaryote,0.000266571,5331.414303
CP018260.1,prokaryote,0.000115974,2319.472517
CP018306.1,prokaryote,6.23E-06,124.6932805
CP018321.1,prokaryote,8.49E-05,1697.781108
CP018400.1,prokaryote,3.59E-06,71.88722935
CP018401.1,prokaryote,3.13E-06,62.56851443
CP018414.1,prokaryote,5.01E-06,100.2871224
CP018415.1,prokaryote,2.29E-06,45.70607792
CP018622.1,prokaryote,0.000269344,5386.882844
CP018623.1,prokaryote,4.93E-06,98.51212911
CP018629.1,prokaryote,1.50E-05,299.9738706
CP018757.1,prokaryote,2.49E-05,497.220003
CP018799.1,prokaryote,8.39E-05,1678.921804
CP018800.1,prokaryote,7.03E-05,1406.016581
CP018838.1,prokaryote,3.31E-05,662.960004
CP018841.1,prokaryote,6.10E-07,12.20307906
CP018863.1,prokaryote,6.58E-05,1316.601293
CP018867.1,prokaryote,0.000145084,2901.670325
CP018883.1,prokaryote,2.00E-06,39.93734964
CP018885.1,prokaryote,2.62E-06,52.36230286
CP018907.1,prokaryote,7.63E-06,152.6494253
CP018937.1,prokaryote,0.012650355,253007.1037
CP019062.1,prokaryote,0.000139459,2789.180124
CP019066.1,prokaryote,4.23E-05,846.6718123
CP019081.1,prokaryote,3.24E-05,648.5381833
CP019085.1,prokaryote,4.81E-06,96.29338746
CP019086.1,prokaryote,4.83E-06,96.51526163
CP019087.1,prokaryote,4.74E-06,94.74026831
CP019088.1,prokaryote,4.65E-06,92.96527499
CP019089.1,prokaryote,4.54E-06,90.74653335
CP019090.1,prokaryote,4.30E-06,86.08717589
CP019091.1,prokaryote,6.80E-06,136.0088629
CP019092.1,prokaryote,4.89E-06,97.84650661
CP019171.1,prokaryote,5.15E-05,1030.383621
CP019186.1,prokaryote,8.97E-06,179.4961992
CP019189.1,prokaryote,1.23E-05,245.1709519
CP019194.1,prokaryote,6.89E-06,137.7838563
CP019201.1,prokaryote,6.69E-06,133.7901213
CP019320.1,prokaryote,3.35E-05,669.8381031
CP019321.1,prokaryote,2.42E-05,483.0200565
CP019348.1,prokaryote,8.09E-06,161.746266
CP019469.1,prokaryote,5.44E-05,1087.405281
CP019489.1,prokaryote,6.94E-05,1387.157277
CP019597.1,prokaryote,0.000174105,3482.09314
CP019600.1,prokaryote,0.000331203,6624.053186
CP019646.1,prokaryote,0.000189969,3799.373196
CP019681.1,prokaryote,2.48E-06,49.69981288
CP019689.1,prokaryote,3.88E-06,77.65595763
CP019708.1,prokaryote,2.44E-05,487.6794139
CP019791.1,prokaryote,0.000155456,3109.122669
CP019800.1,prokaryote,4.44E-06,88.74966586
CP019801.1,prokaryote,4.95E-06,98.95587744
CP019802.1,prokaryote,4.45E-06,88.97154003
CP019803.1,prokaryote,5.58E-06,111.6027048
CP019804.1,prokaryote,4.27E-06,85.42155339
CP019805.1,prokaryote,4.64E-06,92.74340083
CP019806.1,prokaryote,4.30E-06,86.08717589
CP019807.1,prokaryote,4.59E-06,91.85590417
CP019808.1,prokaryote,4.95E-06,98.95587744
CP019809.1,prokaryote,4.64E-06,92.74340083
CP019810.1,prokaryote,4.30E-06,86.08717589
CP019811.1,prokaryote,5.55E-06,110.9370823
CP019812.1,prokaryote,5.42E-06,108.4964665
CP019813.1,prokaryote,4.78E-06,95.62776497
CP019814.1,prokaryote,4.87E-06,97.40275829
CP019815.1,prokaryote,4.38E-06,87.64029504
CP019816.1,prokaryote,4.87E-06,97.40275829
CP019817.1,prokaryote,4.28E-06,85.64342756
CP019818.1,prokaryote,4.78E-06,95.62776497
CP019819.1,prokaryote,4.75E-06,94.96214247
CP019820.1,prokaryote,5.15E-06,102.9496124
CP019821.1,prokaryote,4.91E-06,98.29025494
CP019822.1,prokaryote,4.50E-06,90.08091085
CP019823.1,prokaryote,4.65E-06,92.96527499
CP019824.1,prokaryote,4.87E-06,97.40275829
CP019825.1,prokaryote,4.65E-06,92.96527499
CP019826.1,prokaryote,4.91E-06,98.29025494
CP019827.1,prokaryote,5.09E-06,101.8402416
CP019828.1,prokaryote,5.18E-06,103.6152349
CP019829.1,prokaryote,4.95E-06,98.95587744
CP019830.1,prokaryote,5.18E-06,103.6152349
CP019831.1,prokaryote,5.17E-06,103.3933607
CP019832.1,prokaryote,4.66E-06,93.18714916
CP019833.1,prokaryote,4.55E-06,90.96840751
CP019834.1,prokaryote,4.35E-06,86.97467255
CP019835.1,prokaryote,4.97E-06,99.39962577
CP019836.1,prokaryote,4.08E-06,81.64969259
CP019837.1,prokaryote,4.44E-06,88.74966586
CP019869.1,prokaryote,3.77E-07,7.543721598
CP019899.1,prokaryote,5.96E-05,1191.24239
CP019943.1,prokaryote,2.38E-05,475.4763349
CP019980.1,prokaryote,0.000255943,5118.858853
CP019981.1,prokaryote,9.10E-05,1819.36815
CP020018.1,prokaryote,5.80E-05,1159.070636
CP020023.1,prokaryote,1.50E-05,299.086374
CP020086.1,prokaryote,2.66E-06,53.24979952
CP020089.1,prokaryote,9.54E-05,1908.783439
CP020122.1,prokaryote,8.06E-05,1611.02831
CP020336.1,prokaryote,3.31E-06,66.11850107
CP020339.1,prokaryote,2.75E-06,55.02479284
CP020342.1,prokaryote,3.03E-06,60.57164695
CP020347.1,prokaryote,2.64E-05,528.2823861
CP020370.1,prokaryote,9.39E-05,1878.164804
CP020377.1,prokaryote,0.000212067,4241.346532
CP020438.2,prokaryote,4.89E-05,978.4650661
CP020477.1,prokaryote,0.000277798,5555.950957
CP020566.1,prokaryote,0.000146958,2939.167059
CP020618.1,prokaryote,0.000179962,3599.242699
CP020656.1,prokaryote,5.17E-06,103.3933607
CP020713.1,prokaryote,4.66E-06,93.18714916
CP020714.1,prokaryote,4.56E-06,91.19028167
CP020753.1,prokaryote,2.47E-06,49.47793872
CP020754.1,prokaryote,4.92E-05,984.8994169
