NCBI accession number,name of the virus,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_019719,Enterobacteria phage HK633,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019720,Enterobacterial phage mEp213,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019721,Enterobacterial phage mEp390,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019722,Vibrio phage vB_VpaM_MAR,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019723,Enterobacteria phage HK630,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019724,Escherichia phage HK578,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019725,Escherichia phage ADB-2,NA,NA,NA,NA,NA,bacteria
NC_019726,Staphylococcus phage JD007,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019767,Enterobacteria phage HK544,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019768,Enterobacteria phage HK106,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019769,Enterobacteria phage HK542,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019782,Lactobacillus phage phiAQ113,NA,NA,NA,NA,NA,bacteria
NC_019813,Pseudomonas phage vB_PaeP_p2-10_Or1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019909,Yersinia phage phiR1-RT,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019910,Salmonella phage SKML-39,NA,NA,NA,NA,NA,bacteria
NC_019911,Yersinia phage phi80-18,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019912,Bacillus phage BMBtp2,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019913,Pseudomonas phage PaP1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019914,Staphylococcus phage StB27,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019915,Staphylococcus phage StB20,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_019916,Lactobacillus phage ATCC8014,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_019917,Burkholderia phage BcepMigl,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_019918,Pseudomonas phage vB_PaeM_C2-10_Ab1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019919,Yersinia phage phiR201,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019920,Enterobacteria phage C-1 INW-2012,Enterobacteriaceae,NA,NA,NA,NA,bacteria
NC_019921,Staphylococcus phage phi5967PVL,NA,NA,NA,NA,NA,bacteria
NC_019922,Enterobacteria phage Hgal1,Enterobacteriaceae,NA,NA,NA,NA,bacteria
NC_019923,Pseudomonas phage AF,NA,NA,NA,NA,NA,bacteria
NC_019924,Clostridium phage phi8074-B1,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_019925,Dickeya phage Limestone,Dickeya,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019926,Erwinia phage phiEa100,NA,NA,NA,NA,NA,bacteria
NC_019927,Cronobacter phage ENT47670,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019928,Helicobacter phage KHP30,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,bacteria
NC_019929,Erwinia phage phiEaH2,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019930,Tetrasphaera phage TJE1,Tetrasphaera,Intrasporangiaceae,Micrococcales,Actinobacteria,Actinobacteria,bacteria
NC_019931,Helicobacter phage KHP40,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,bacteria
NC_019932,Erwinia phage ENT90,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019933,Xanthomonas phage CP1,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019934,Cronobacter phage ENT39118,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_019935,Pseudomonas phage KPP12,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020077,Sulfolobus virus STSV2,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_020078,Cronobacter phage vB_CskP_GAP227,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020079,Escherichia phage phAPEC8,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020080,Klebsiella phage KP27,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020081,Bacillus phage phiAGATE,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_020082,Edwardsiella phage MSW-3,NA,NA,NA,NA,NA,bacteria
NC_020083,Serratia phage phiMAM1,Serratia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020158,Halovirus HVTV-1,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_020159,Halovirus HSTV-2,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_020197,Streptococcus phage TP-J34,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_020198,Pseudomonas phage JBD30,NA,NA,NA,NA,NA,bacteria
NC_020199,Staphylococcus phage phi7401PVL,NA,NA,NA,NA,NA,bacteria
NC_020200,Pseudomonas phage JBD88a,NA,NA,NA,NA,NA,bacteria
NC_020201,Pectobacterium phage phiTE,Pectobacterium,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020202,Pseudomonas phage JBD5,NA,NA,NA,NA,NA,bacteria
NC_020203,Pseudomonas phage JBD24,NA,NA,NA,NA,NA,bacteria
NC_020204,Klebsiella phage JD001,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020205,Xanthomonas citri phage CP2,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020414,Enterobacteria phage UAB_Phi78,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020416,Salmonella phage S16,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020477,Bacillus phage Eoghan,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_020478,Bacillus phage Andromeda,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_020479,Bacillus phage Curly,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_020480,Bacillus phage Finn,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_020481,Pelagibacter phage HTVC010P,Pelagibacter,NA,NA,NA,NA,bacteria
NC_020482,Pelagibacter phage HTVC011P,Pelagibacter,NA,NA,NA,NA,bacteria
NC_020483,Pelagibacter phage HTVC019P,Pelagibacter,NA,NA,NA,NA,bacteria
NC_020484,Pelagibacter phage HTVC008M,Pelagibacter,NA,NA,NA,NA,bacteria
NC_020486,Synechococcus phage S-RIM8 A.HR1,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_020488,Vibrio phage VvAW1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020489,Rhodobacter phage RcapNL,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_020490,Staphylococcus phage StB12,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_020835,Prochlorococcus phage P-SSP10,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_020837,Synechococcus phage S-CAM1,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_020838,Synechococcus phage S-RIP2,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_020839,Rhodobacter phage RC1,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_020841,Psychrobacter phage pOW20-A,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020842,Cellulophaga phage phiST,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_020843,Vibrio phage 11895-B1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020844,Salicola phage CGphi29,Salicola,NA,NA,NA,NA,bacteria
NC_020845,Prochlorococcus phage MED4-213,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_020846,Vibrio phage pYD21-A,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020847,Prochlorococcus phage MED4-184,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_020848,Vibrio phage VBP47,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020849,Pseudoalteromonas phage pYD6-A,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020850,Vibrio phage VBM1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020851,Synechococcus phage S-SKS1,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_020853,Loktanella phage pCB2051-A,Loktanella,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_020854,Cyanophage KBS-S-2A,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_020855,Cyanophage P-RSM6,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_020856,Sulfitobacter phage pCB2047-C,Sulfitobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_020857,Cyanophage MED4-117,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_020858,Sulfitobacter phage pCB2047-A,Sulfitobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_020859,Synechococcus phage S-RIM2 R1_1999,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_020860,Cellulophaga phage phiSM,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_020862,Sulfitobacter phage phiCB2047-B,Sulfitobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_020863,Vibrio phage PWH3a-P1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020865,Cyanophage KBS-P-1A,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_020866,Rhodovulum phage RS1,Rhodovulum,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_020867,Synechococcus phage S-RIP1,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_020868,Vibrio phage VBP32,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020869,Tetraselmis viridis virus S1,Tetraselmis,NA,NA,NA,NA,bacteria
NC_020870,Leuconostoc phage phiLN04,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_020871,Listeria phage vB_LmoM_AG20,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_020872,Cyanophage SS120-1,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_020873,Bacillus phage vB_BceM-Bc431v3,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_020874,Prochlorococcus phage P-SSP3,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_020875,Synechococcus phage S-SSM4,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_020876,Mycobacterium phage First,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_020877,Staphylococcus phage vB_SauM_Romulus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_020878,Prochlorococcus phage P-GSP1,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_020879,Aeromonas phage Aes012,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_020880,Leuconostoc phage P793,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_020882,Sulfolobales Mexican fusellovirus 1,NA,NA,NA,NA,NA,archaea
NC_020883,Bacillus phage PM1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_021061,Mycobacterium phage Butters,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021062,Pseudomonas phage Phi-S1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021063,Mycobacterium phage vB_MapS_FF47,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021067,Vibrio phage helene 12B3,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021068,Vibrio phage douglas 12A4,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021070,Vibrio phage martha 12B12,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021071,Cyanophage P-RSM1,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_021072,Cyanophage Syn30,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_021073,Vibrio phage henriette 12B8,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021297,Mycobacterium phage PattyP,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021298,Streptomyces phage Lika,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_021299,Mycobacterium phage PegLeg,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021300,Pseudoalteromonas phage RIO-1,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021301,Mycobacterium phage SiSi,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021302,Mycobacterium phage Fishburne,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021304,Streptomyces phage Sujidade,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_021305,Mycobacterium phage Murphy,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021306,Mycobacterium phage Dumbo,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021307,Mycobacterium phage Severus,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021308,Mycobacterium phage HINdeR,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021309,Mycobacterium phage Phrux,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021310,Mycobacterium phage Newman,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021311,Mycobacterium phage Phaux,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021316,Acinetobacter phage Abp1,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021317,Salmonella phage L13,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021318,Mycobacterium phage Chy5,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021319,Halovirus HCTV-2,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_021320,Halovirus HRTV-5,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_021321,Halovirus HRTV-8,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_021322,Halovirus HHTV-1,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_021323,Staphylococcus phage StauST398-2,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_021324,Mycobacterium phage CASbig,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021325,Clostridium phage vB_CpeS-CP51,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_021326,Staphylococcus phage StauST398-1,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_021327,Halovirus HCTV-5,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_021328,Halovirus HGTV-1,Halogranum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_021329,Halovirus HRTV-4,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_021330,Halovirus HCTV-1,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_021331,Shigella phage pSf-1,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021332,Staphylococcus phage StauST398-3,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_021334,Mycobacterium phage WIVsmall,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021335,Halovirus HRTV-7,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_021336,Bacillus phage MG-B1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_021337,Acinetobacter phage AB3,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021338,Mycobacterium phage Chy4,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021339,Streptomyces phage Zemlya,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_021340,Halovirus HHTV-2,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_021342,Edwardsiella phage PEi21,Edwardsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021343,Burkholderia phage ST79,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_021344,Escherichia phage Lw1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021346,Mycobacterium phage Gizmo,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021347,Rhodococcus phage E3,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021348,Mycobacterium phage ArcherS7,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021349,Mycobacterium phage Astraea,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021471,Halovirus HSTV-1,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,archaea
NC_021529,Vibrio phage nt-1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021530,Synechococcus phage S-CAM8,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_021531,Cronobacter phage CR5,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021532,Alteromonas phage vB_AmaP_AD45-P1,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021533,Mycobacterium phage BTCU-1,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021534,Vibrio phage pYD38-A,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021535,Mycobacterium phage Jobu08,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021536,Synechococcus phage S-IOM18,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_021537,Halorubrum phage CGphi46,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,bacteria
NC_021538,Mycobacterium phage Job42,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021539,Listeria phage LP-030-2,NA,NA,NA,NA,NA,bacteria
NC_021540,Vibrio phage JA-1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021556,Mycobacterium phage Leo,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_021557,Rhizobium phage RR1-B,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_021558,Paenibacillus phage PG1,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_021559,Prochlorococcus phage P-SSM3,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,bacteria
NC_021560,Rhizobium phage RR1-A,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_021561,Vibrio phage pYD38-B,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021562,Vibrio phage VFJ,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021563,Serratia phage Eta,NA,NA,NA,NA,NA,bacteria
NC_021569,Stenotrophomonas phage phiSMA7,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021772,Salmonella phage FSL SP-058,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021773,Staphylococcus phage JS01,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_021774,Salmonella phage FSL SP-004,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021775,Salmonella phage FSL SP-031,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021776,Vibrio phage VPMS1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021777,Salmonella phage Jersey,NA,NA,NA,NA,NA,bacteria
NC_021779,Salmonella phage FSLSP030,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021780,Salmonella phage FSLSP088,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021781,Listeria phage LP-125,NA,NA,NA,NA,NA,bacteria
NC_021782,Salmonella phage FSL SP-076,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021783,Salmonella phage iEPS5,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_021784,Thermus phage phi OH2,NA,NA,NA,NA,NA,bacteria
NC_021785,Listeria phage LP-110,NA,NA,NA,NA,NA,bacteria
NC_021787,Listeria phage LP-037,NA,NA,NA,NA,NA,bacteria
NC_021788,Cellulophaga phage phi4:1,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021789,Cellulophaga phage phi19:3,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021790,Cellulophaga phage phi18:1,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021791,Cellulophaga phage phi12:1,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021792,Cellulophaga phage phi46:3,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021793,Cellulophaga phage phi48:2,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021794,Cellulophaga phage phi18:3,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021795,Cellulophaga phage phi17:1,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021796,Cellulophaga phage phi38:1,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021797,Cellulophaga phage phi12:2,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021798,Cellulophaga phage phi17:2,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021799,Cellulophaga phage phi19:1,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021800,Cellulophaga phage phi46:1,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_021801,Staphylococcus phage SA12,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
