NCBI accession number,name of the virus,name of the host,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_027629,"Propionibacterium phage Attacne, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027625,"Propionibacterium phage Kubed, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027628,"Propionibacterium phage Lauchelly, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027620,"Propionibacterium phage MrAK, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027630,"Propionibacterium phage Ouroboros, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027623,"Propionibacterium phage Pirate, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027626,"Propionibacterium phage Procrass1, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027624,"Propionibacterium phage SKKY, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027627,"Propionibacterium phage Solid, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027622,"Propionibacterium phage Stormborn, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027621,"Propionibacterium phage Wizzo, complete genome",Propionibacterium acnes ATCC 6919,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027332,"Acinetobacter phage YMC13/03/R2096, complete genome",Acinetobacter baumannii YMC13/03/R2096,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027334,"Aurantimonas phage AmM-1 DNA, complete sequence",Aurantimonas sp. C5-1,Aurantimonas,Aurantimonadaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_027355,"Bacillus phage BCP8-2, complete genome",Bacillus cereus JCM 2152,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_027352,"Bacillus phage JBP901, complete genome",Bacillus cereus ATCC 14579,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_027366,"Bacillus phage Mater, complete genome",Bacillus megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_027374,"Bacillus phage Moonbeam, complete genome",Bacillus megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_027372,"Bacillus phage Pascal, complete genome",Bacillus megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_027394,"Bacillus phage Pookie, complete genome",Bacillus megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_027331,"Citrobacter phage Moon, complete genome",Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027350,"Citrobacter phage Stevie, complete genome",Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027348,"Delftia phage RG-2014, complete genome",Delftia tsuruhatensis ARB-1,Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_027398,"Enterobacteria phage Sf101, complete genome",Shigella flexneri serotype 7a,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027339,"Enterobacteria phage SfI, complete genome",Shigella flexneri serotype 1a strain 019,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027360,"Enterobacteriaphage UAB_Phi87, complete genome",Salmonella enterica subsp. enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027335,"Enterococcus phage ECP3, complete genome",Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_027340,"Erwinia phage phiEa2809, complete genome",Erwinia amylovora 1/79,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027387,"Escherichia phage CICC 80001, complete genome",Escherichia coli HY05C,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027369,"Escherichia phage EC6, complete genome",Escherichia coli serotype O157:H7,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027330,"Escherichia phage ECBP5, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027349,"Escherichia phage HY01, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027364,"Escherichia phage PBECO 4, complete genome",Escherichia coli O157,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027381,"Escherichia phage Pollock, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027378,"Escherichia phage Seurat, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027383,"Escherichia phage YD-2008.s, complete genome",Escherichia coli ATCC 11303,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027337,"Escherichia phage vB_EcoM-VpaE1, complete genome",Escherichia coli B strains,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027395,"Phage vB_EcoP_SU10, complete genome",Escherichia coli ECOR10,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027356,"Enterobacteria phage DT57C, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027399,"Klebsiella phage K64-1 DNA, complete genome",Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027341,"Lactococcus phage WRP3, complete genome",Lactococcus lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_027377,"Leuconostoc phage Ln-8, complete genome",Leuconostoc mesenteroides subsp. mesenteroides D6a,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_027358,"Leuconostoc phage Ln-9, complete genome",Leuconostoc mesenteroides subsp. mesenteroides,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_027365,"Mycobacterium virus Fionnbarth, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027336,"Propionibacterium phage PHL009M11, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027357,"Propionibacterium phage PHL025M00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027373,"Propionibacterium phage PHL030N00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027391,"Propionibacterium phage PHL041M10, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027400,"Propionibacterium phage PHL055N00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027333,"Propionibacterium phage PHL070N00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027359,"Propionibacterium phage PHL082M00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027361,"Propionibacterium phage PHL085N00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027385,"Propionibacterium phage PHL092M00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027401,"Propionibacterium phage PHL095N00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027362,"Propionibacterium phage PHL116M00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027367,"Propionibacterium phage PHL132N00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027389,"Propionibacterium phage PHL141N00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027386,"Propionibacterium phage PHL152M00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027346,"Propionibacterium phage PHL171M01, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027370,"Propionibacterium phage PHL179M00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027295,"Propionibacterium phage PHL199M00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027354,"Propionibacterium phage PHL301M00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027371,"Propionibacterium phage Pacnes 2012-15, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027363,"Proteus phage PM 75, complete genome",Proteus mirabilis 821,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027379,"Proteus phage PM 85, complete genome",Proteus mirabilis strain 922 (LMMB NIBOCH,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027390,"Proteus phage PM 93, complete genome",Proteus mirabilis strain 824 (LMMB NIBOCH,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027342,"Proteus phage PM16, complete genome",Proteus mirabilis 73,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027384,"Pseudomonas phage H70, complete genome",Pseudomonas aeruginosa Ps33,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027345,"Pseudomonas phage Pa2, complete genome",Pseudomonas aeruginosa PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027388,"Pseudomonas phage YH6, complete genome",Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027375,"Pseudomonas phage vB_PaeP_PPA-ABTNL, complete genome",Pseudomonas aeruginosa PA5-1-1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027296,"Rhizobium phage RHEph06, complete genome",Rhizobium etli GR56,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_027402,"Salmonella phage SPN3US, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027351,"Salmonella phage SSE-121, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027344,"Salmonella phage STML-198, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027329,"Salmonella phage vB_SPuM_SP116, complete genome",Salmonella enterica serovar Pullorum 96116,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027297,"Salmonella phage Stitch, complete genome",Salmonella typhimurium,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027382,"Enterobacteria phage SfMu, complete genome",Shigella flexneri serotype 4a,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027396,"Streptococcus phage SpSL1, complete genome",Streptococcus pneumoniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_027299,"Sulfitobacter phage NYA-2014a, complete genome",Sulfitobacter sp. CB2047,Sulfitobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_027393,"Vibrio phage J2, complete genome",Vibrio cholerae 2095,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027397,"Vibrio phage QH, complete genome",Vibrio cholerae 2095,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027404,"Yersinia phage PST, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027294,"Propionibacterium phage PHL150M00, complete genome",Propionibacterium acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_027292,"Pseudomonas phage Pf-10, complete genome",Pseudomonas fluorescens BIM B-582; Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027293,"Citrobacter phage Moogle, complete genome",Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027204,"Sinorhizobium phage phiM12, complete genome",Sinorhizobium meliloti,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_027125,"Flavobacterium phage FCL-2, complete genome",Flavobacterium columnare B185,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_027130,"Synechococcus phage ACG-2014b isolate Syn7803C100, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_027132,"Synechococcus phage ACG-2014i isolate Syn7803US120, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_021190,"Enterobacteria phage phi80, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027120,"Lactococcus phage 1358, complete sequence",Lactococcus lactis SMQ-388,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_027119,"Salmonella phage Det7, complete genome",Salmonella enterica serovar Typhimurium,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_027118,"Vibrio phage phiVC8, complete genome",Vibrio cholerae O1 Classic E8021,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_036595,"Aeropyrum globular virus 1 genomic DNA, complete genome",Aeropyrum pernix,Aeropyrum,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea
NC_035464,"Metallosphaera turreted icosahedral virus strain MTIV1, complete genome",Metallosphaera sp.,Metallosphaera,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_034625,"Sulfolobus islandicus rod-shaped virus 10, partial genome",Sulfolobus islandicus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_034624,"Sulfolobus islandicus rod-shaped virus 11, partial genome",Sulfolobus islandicus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_034628,"Sulfolobus islandicus rod-shaped virus 4, partial genome",Sulfolobus islandicus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_034621,"Sulfolobus islandicus rod-shaped virus 5, partial genome",Sulfolobus islandicus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_034627,"Sulfolobus islandicus rod-shaped virus 6, partial genome",Sulfolobus islandicus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_034619,"Sulfolobus islandicus rod-shaped virus 7, partial genome",Sulfolobus islandicus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_034623,"Sulfolobus islandicus rod-shaped virus 8, partial genome",Sulfolobus islandicus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_034620,"Sulfolobus islandicus rod-shaped virus 9, partial genome",Sulfolobus islandicus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_029548,"Pyrobaculum filamentous virus 1, complete genome",Pyrobaculum arsenaticum,Pyrobaculum,Thermoproteaceae,Thermoproteales,Thermoprotei,Crenarchaeota,Archaea
NC_030884,"Sulfolobus islandicus rudivirus 3 isolate SIRV3, complete genome",Sulfolobus islandicus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_029314,"Acidianus rod-shaped virus 2 strain ARV2, complete genome",Sulfolobales,NA,NA,NA,Thermoprotei,Crenarchaeota,Archaea
NC_029316,"Acidianus tailed spindle virus isolate 1, complete genome",Acidianus sp. CHAS,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_029103,"Sulfolobus monocaudavirus SMV3, complete genome",Sulfolobus,NA,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_028938,"Acidianus bottle-shaped virus 2 strain ABV2, complete genome",Sulfolobales,NA,NA,NA,Thermoprotei,Crenarchaeota,Archaea
NC_028787,"Acidianus bottle-shaped virus 3 strain ABV3, complete genome",Sulfolobales,NA,NA,NA,Thermoprotei,Crenarchaeota,Archaea
NC_028992,"Sulfolobales Virus YNP2 strain SYV2, complete genome",Sulfolobales,NA,NA,NA,Thermoprotei,Crenarchaeota,Archaea
NC_029027,"Sulfolobales virus YNP1 strain SYV1, complete genome",Sulfolobales,NA,NA,NA,Thermoprotei,Crenarchaeota,Archaea
NC_029020,"Sulfolobus monocaudavirus SMV2, complete genome",Sulfolobus,NA,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_029011,"Sulfolobus monocaudavirus SMV4, complete genome",Sulfolobus,NA,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
